Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
moving company quote,15,15,480,36,9.28,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.42,397000000,"[54,54,54,66,66,66,66,100,81,100,100,100]",2026-02-13,"Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
free appliance removal ottawa ontario,72,72,50,9,1.07,https://www.firstratemovers.com/furniture-donation-disposal/,0,0,0.00,0.61,1640000,"[18,18,18,18,100,18,100,18,100,100,100,18]",2026-02-19,"Local pack, Sitelinks, Related searches, Discussions and forums, AI overview",commercial,Organic
truck and movers,16,16,70,27,3.77,https://www.firstratemovers.com/moving-trucks/,0,0,0.00,0.67,32800000,"[26,26,26,34,34,34,7,26,26,53,26,26]",2026-02-24,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
truck and movers,54,54,70,27,3.77,https://www.firstratemovers.com/consolidated-moving-services/,0,0,0.00,0.67,32800000,"[26,26,26,34,34,34,7,26,26,53,26,26]",2026-02-24,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
truck and movers,65,65,70,27,3.77,https://www.firstratemovers.com/consolidated-moving-services/,0,0,0.00,0.67,32800000,"[26,26,26,34,34,34,7,26,26,53,26,26]",2026-02-24,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
storage units kanata ontario,29,29,110,28,3.97,https://www.firstratemovers.com/free-storage-ottawa/,0,0,0.00,0.91,147000,"[52,64,64,64,82,82,82,82,82,64,64,64]",2026-02-11,"Local pack, Image, People also ask, Related searches",commercial,Organic
moving companies north bay,1,1,210,10,1.90,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.75,245000000,"[43,53,35,66,53,53,53,66,82,43,43,23]",2026-02-13,"Local pack, People also ask, Related searches",commercial,People also ask
where can i sell second hand furniture,56,56,110,,1.05,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,0,0,0.00,0.55,174000000,"[50,78,78,78,78,100,78,50,78,78,64,64]",2026-01-17,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
where can i sell,31,31,110,54,6.77,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,0,0,0.00,0.11,3680000000,"[78,100,78,78,78,100,78,78,100,100,64,78]",2026-02-20,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
ontario moving services,39,39,260,59,7.22,https://www.firstratemovers.com/,0,0,0.00,0.66,52300000,"[54,43,54,81,54,22,54,66,43,81,35,22]",2026-03-01,"Local pack, Video, Image, Related searches",commercial,Organic
ontario moving services,67,67,260,59,7.22,https://www.firstratemovers.com/long-distance-moving/,0,0,0.00,0.66,52300000,"[54,43,54,81,54,22,54,66,43,81,35,22]",2026-03-01,"Local pack, Video, Image, Related searches",commercial,Organic
ottawa buy sell,72,72,210,39,1.85,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,0,0,0.00,0.07,90200000,"[53,66,28,66,100,43,53,66,53,43,35,43]",2026-01-23,"Sitelinks, Related searches","navigational, transactional",Organic
moving companies near me local,59,59,480,68,4.89,https://www.firstratemovers.com/,0,0,0.00,0.6,1310000000,"[81,100,10,13,13,20,13,81,20,13,8,6]",2026-02-22,"Local pack, Video, People also ask, Related searches",transactional,Organic
rawlinson moving company,5,5,50,18,2.58,https://www.firstratemovers.com/how-to-choose-a-good-moving-company/,0,0,0.00,0.25,101,"[50,50,50,64,50,50,14,50,50,50,35,14]",2026-03-05,"Knowledge panel, Image, People also ask, Related searches",transactional,People also ask
rawlinson moving company,5,5,50,18,2.58,https://www.firstratemovers.com/,0,0,0.00,0.25,101,"[50,50,50,64,50,50,14,50,50,50,35,14]",2026-03-05,"Knowledge panel, Image, People also ask, Related searches",transactional,People also ask
how to dispose of old furniture,60,60,70,10,1.72,https://www.firstratemovers.com/furniture-donation-disposal/,0,0,0.00,0.71,422000000,"[21,15,15,21,21,34,34,6,34,6,6,34]",2026-01-24,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic
moving company orleans,26,26,50,16,4.55,https://www.firstratemovers.com/,0,0,0.00,0.75,57700000,"[7,14,14,7,7,14,35,78,100,78,64,64]",2026-02-16,"Local pack, People also ask, Related searches",commercial,Organic
ottawa moving companies,34,34,880,39,6.95,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.86,38100000,"[5,10,8,10,35,16,24,16,13,13,13,16]",2026-02-03,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
piano mover cost,29,29,390,6,1.82,https://www.firstratemovers.com/ottawa-piano-movers/,0,0,0.00,0.18,6920000,"[16,20,67,55,55,20,10,10,13,100,16,20]",2026-01-27,"Image pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
moving company costs,9,9,70,14,3.33,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.54,525000000,"[9,19,19,23,33,23,23,42,33,52,52,52]",2026-02-14,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
moving company costs,11,11,70,14,3.33,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.54,525000000,"[9,19,19,23,33,23,23,42,33,52,52,52]",2026-02-14,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
moving company costs,80,80,70,14,3.33,https://www.firstratemovers.com/typical-move-costs-for-2024/,0,0,0.00,0.54,525000000,"[9,19,19,23,33,23,23,42,33,52,52,52]",2026-02-14,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
affordable moving companies,32,32,170,33,7.21,https://www.firstratemovers.com/,0,0,0.00,0.69,181000000,"[11,16,7,8,7,7,7,5,7,7,7,7]",2026-02-03,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
pack and move boxes,40,40,170,32,1.41,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,0.63,1320000000,"[26,34,42,100,53,53,80,80,65,100,65,34]",2026-02-27,"Local pack, Image pack, Sitelinks, Video, Image, Ads top, Video Carousel, People also ask, Popular products, Related searches, Ads middle",commercial,Organic
pack and move boxes,57,57,170,32,1.41,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,0.63,1320000000,"[26,34,42,100,53,53,80,80,65,100,65,34]",2026-02-27,"Local pack, Image pack, Sitelinks, Video, Image, Ads top, Video Carousel, People also ask, Popular products, Related searches, Ads middle",commercial,Organic
move ottawa,21,21,320,41,6.95,https://www.firstratemovers.com/,0,0,0.00,0.86,135000000,"[25,31,11,7,5,13,46,8,31,13,8,5]",2026-02-13,"Knowledge panel, Sitelinks, Video, Related searches","navigational, transactional",Organic
move ottawa,75,75,320,41,6.95,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.86,135000000,"[25,31,11,7,5,13,46,8,31,13,8,5]",2026-02-13,"Knowledge panel, Sitelinks, Video, Related searches","navigational, transactional",Organic
movers st. thomas ontario,4,4,170,,2.89,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.74,307000,"[23,28,53,82,100,28,23,35,35,35,35,28]",2026-02-10,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,People also ask
big box moving,89,89,390,42,2.51,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,0.34,1520000000,"[24,30,24,30,30,30,30,30,30,36,36,30]",2026-02-05,"Knowledge panel, Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
moving toronto to ottawa,6,6,50,4,8.53,https://www.firstratemovers.com/moving-to-ottawa-from-toronto/,0,0,0.00,0.4,0,"[0,0,0,100,4,2,14,2,2,4,4,4]",2026-03-08,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
moving toronto to ottawa,22,22,50,4,8.53,https://www.firstratemovers.com/,0,0,0.00,0.4,0,"[0,0,0,100,4,2,14,2,2,4,4,4]",2026-03-08,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
moving toronto to ottawa,41,41,50,4,8.53,https://www.firstratemovers.com/,0,0,0.00,0.4,0,"[0,0,0,100,4,2,14,2,2,4,4,4]",2026-03-08,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
how much does it cost to hire movers,45,45,170,13,1.88,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.82,1700000000,"[5,6,5,5,5,6,8,30,30,24,8,8]",2026-02-18,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
moving boxes for sale,35,35,480,44,1.07,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,1,168000000,"[54,66,66,81,81,54,81,100,81,81,81,66]",2026-02-23,"Local pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
two men and a truck rates,16,16,90,21,2.14,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.57,66100000,"[17,17,17,28,23,28,28,35,28,23,7,17]",2026-01-22,"Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
how much is moving service,16,16,320,20,2.53,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.83,1490000000,"[100,54,44,23,66,54,44,29,23,29,23,15]",2026-01-30,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
how much is moving service,89,89,320,20,2.53,https://www.firstratemovers.com/typical-move-costs-for-2024/,0,0,0.00,0.83,1490000000,"[100,54,44,23,66,54,44,29,23,29,23,15]",2026-01-30,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
small movers near me,12,12,170,56,2.99,https://www.firstratemovers.com/,0,0,0.00,0.89,56700000,"[65,65,53,80,42,65,65,80,100,80,53,65]",2026-02-27,"Local pack, Video, People also ask, Related searches",transactional,Organic
moving co reviews,68,68,50,14,2.67,https://www.firstratemovers.com/how-to-choose-a-good-moving-company/,0,0,0.00,0.57,1050000000,"[63,63,63,81,63,81,18,45,63,45,63,18]",2026-01-28,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
moving companies in timmins ontario,2,2,210,10,1.94,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.33,317000,"[53,100,80,100,80,80,80,100,100,53,80,53]",2026-03-03,"Local pack, Video, People also ask, Related searches",commercial,People also ask
moving companies in timmins ontario,2,2,210,10,1.94,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.33,317000,"[53,100,80,100,80,80,80,100,100,53,80,53]",2026-03-03,"Local pack, Video, People also ask, Related searches",commercial,People also ask
where do you get boxes for moving,34,34,320,36,0.89,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,1,441000000,"[44,44,36,44,44,44,44,44,44,54,36,36]",2026-02-03,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",transactional,Organic
how to move a tv,11,11,50,31,1.47,https://www.firstratemovers.com/how-to-safely-move-your-big-screen-tv/,0,0,0.00,0.52,2580000000,"[100,78,14,78,14,14,14,14,78,14,14,14]",2026-02-24,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
moving packers,19,19,70,37,8.13,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.92,25600000,"[23,41,11,29,52,64,100,23,23,17,17,17]",2026-02-26,"Local pack, Video, People also ask, Related searches",commercial,Organic
moving company cost per hour,1,1,90,9,2.46,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.76,433000000,"[35,64,64,78,50,64,64,35,50,100,50,50]",2026-01-13,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
moving companies mississauga,2,2,720,21,11.16,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.86,15400000,"[81,62,30,100,30,55,16,30,30,24,30,45]",2026-02-09,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,People also ask
moving companies cobourg,2,2,110,5,3.97,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.64,142000,"[21,15,28,65,100,43,28,28,21,21,21,21]",2026-03-05,"Local pack, Image, People also ask, Related searches",commercial,People also ask
movers in hamilton ontario,2,2,260,34,10.76,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.86,1130000,"[100,100,100,65,65,100,81,53,53,65,43,43]",2026-02-27,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
movers collingwood ontario,1,1,140,21,4.77,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.73,172000,"[66,66,52,66,66,80,66,52,52,52,42,52]",2026-02-15,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
best movers ottawa,15,15,260,29,4.10,https://www.firstratemovers.com/,0,0,0.00,0.59,2070000,"[21,26,5,5,39,14,39,26,26,39,32,32]",2026-01-19,"Knowledge panel, Sitelinks, Related searches",commercial,Organic
best movers ottawa,38,38,260,29,4.10,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.59,2070000,"[21,26,5,5,39,14,39,26,26,39,32,32]",2026-01-19,"Knowledge panel, Sitelinks, Related searches",commercial,Organic
best movers ottawa,92,92,260,29,4.10,https://www.firstratemovers.com/how-to-choose-a-good-moving-company/,0,0,0.00,0.59,2070000,"[21,26,5,5,39,14,39,26,26,39,32,32]",2026-01-19,"Knowledge panel, Sitelinks, Related searches",commercial,Organic
quote for movers,23,23,90,46,9.28,https://www.firstratemovers.com/moving-quotes/,0,0,0.00,0.42,24300000,"[7,100,12,5,2,12,12,10,66,5,5,5]",2026-01-19,"Video, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic
diligent movers,1,1,140,34,3.60,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.19,1980000,"[7,5,7,11,8,8,5,7,7,7,7,11]",2026-03-04,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
moving costs,24,24,480,19,3.33,https://www.firstratemovers.com/typical-move-costs-for-2024/,0,0,0.00,0.54,759000000,"[66,100,81,36,36,100,81,100,81,29,81,36]",2026-01-16,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",informational,Organic
cheap moving services near me,9,9,320,77,5.69,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.9,127000000,"[54,35,54,81,66,44,28,23,35,81,54,28]",2026-02-04,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",transactional,Organic
emergency movers,82,82,90,9,5.44,https://www.firstratemovers.com/,0,0,0.00,0.89,18000000,"[15,28,15,28,6,6,9,15,12,34,81,81]",2026-02-21,"Local pack, Video, People also ask, Related searches",informational,Organic
piano mover price,12,12,320,6,1.82,https://www.firstratemovers.com/ottawa-piano-movers/,0,0,0.00,0.18,15800000,"[35,66,100,54,54,28,35,23,66,66,81,66]",2026-02-26,"Sitelinks, Video, People also ask, Popular products, Related searches, AI overview",commercial,Organic
container unloading,61,61,70,13,3.60,https://www.firstratemovers.com/help-loading-or-unloading-truck-or-container/,0,0,0.00,0.07,26000000,"[9,9,2,12,12,15,12,12,9,6,9,15]",2026-01-15,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic
moving rates,12,12,260,14,3.44,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.76,900000000,"[54,100,36,44,54,36,29,36,29,29,23,15]",2026-01-17,"Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",Organic
local movers,32,32,1600,23,5.44,https://www.firstratemovers.com/local-moving-in-ottawa/,0,0,0.00,0.15,2410000000,"[29,13,29,22,13,20,36,100,29,43,54,65]",2026-02-12,"Local pack, Video, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
moving company kanata,53,53,90,16,6.26,https://www.firstratemovers.com/,0,0,0.00,0.78,1150000,"[9,14,33,42,19,42,23,66,52,100,66,52]",2026-01-19,"Local pack, Image, People also ask, Related searches",commercial,Organic
moving into storage,51,51,320,10,7.04,https://www.firstratemovers.com/free-storage-ottawa/,0,0,0.00,0.31,751000000,"[19,23,36,54,67,54,100,15,29,23,10,19]",2026-02-05,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
mover cost,73,73,110,21,3.33,https://www.firstratemovers.com/typical-move-costs-for-2024/,0,0,0.00,0.54,76400000,"[100,12,12,17,82,10,7,12,17,17,10,17]",2026-01-23,"Sitelinks, Video, Popular products, Related searches, AI overview",commercial,Organic
mover cost,81,81,110,21,3.33,https://www.firstratemovers.com/typical-move-costs-for-2024/,0,0,0.00,0.54,76400000,"[100,12,12,17,82,10,7,12,17,17,10,17]",2026-01-23,"Sitelinks, Video, Popular products, Related searches, AI overview",commercial,Organic
where can i sell used furniture,24,24,90,31,1.05,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,0,0,0.00,0.55,322000000,"[33,52,33,52,42,66,42,33,52,42,42,42]",2026-03-01,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
where can i sell used furniture,39,39,90,31,1.05,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,0,0,0.00,0.55,322000000,"[33,52,33,52,42,66,42,33,52,42,42,42]",2026-03-01,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
buy removals boxes,52,52,90,38,0.00,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,0,0,"[0,0,0,0,0,66,66,100,0,0,0,0]",2026-03-09,"Local pack, Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
ottawa moving company,53,53,720,45,6.95,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.86,75000000,"[16,20,81,100,36,30,45,55,45,55,55,45]",2026-02-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
ottawa moving company,86,86,720,45,6.95,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.86,75000000,"[16,20,81,100,36,30,45,55,45,55,55,45]",2026-02-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
sofa pickup donation,55,55,50,23,1.53,https://www.firstratemovers.com/furniture-donation-disposal/,0,0,0.00,0.63,1380000,"[21,17,0,5,0,0,3,9,0,0,0,0]",2026-02-14,"Local pack, Ads top, Related searches, AI overview",commercial,Organic
packing and moving services,11,11,260,38,6.28,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.95,99100000,"[19,15,12,23,23,29,23,44,54,36,44,36]",2026-01-20,"Local pack, People also ask, Related searches, AI overview",commercial,Organic
home removals near me,44,44,110,22,4.62,https://www.firstratemovers.com/,0,0,0.00,0.48,22200000,"[52,41,41,100,64,82,82,41,41,100,52,64]",2026-03-03,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
home removals near me,71,71,110,22,4.62,https://www.firstratemovers.com/,0,0,0.00,0.48,22200000,"[52,41,41,100,64,82,82,41,41,100,52,64]",2026-03-03,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
storage lockers orleans,74,74,90,33,3.03,https://www.firstratemovers.com/free-storage-ottawa/,0,0,0.00,0.69,4440000,"[42,33,33,52,66,52,52,33,42,42,52,42]",2026-02-22,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
cheap movers,22,22,390,20,4.58,https://www.firstratemovers.com/,0,0,0.00,0.93,30200000,"[15,44,81,81,44,66,44,54,66,66,81,66]",2026-02-18,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
moving box packages,82,82,320,26,1.41,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,0.63,146000000,"[66,66,54,66,66,66,66,66,66,81,81,43]",2026-02-09,"Local pack, Sitelinks, Video, Image, Popular products, Related searches, AI overview",commercial,Organic
piano moving rates,24,24,260,5,1.82,https://www.firstratemovers.com/ottawa-piano-movers/,0,0,0.00,0.18,18300000,"[23,54,81,100,29,23,29,23,29,19,44,9]",2026-02-26,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
low cost moving truck,56,56,50,50,2.10,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.53,75600000,"[18,100,100,100,18,100,18,18,18,18,18,18]",2026-01-29,"Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview","commercial, informational",Organic
movers price,1,1,390,8,3.33,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.54,215,"[36,54,44,54,66,81,66,100,54,54,36,36]",2026-03-04,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
packaging services near me,21,21,110,42,2.00,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.57,498000000,"[36,15,54,19,2,1,1,10,7,7,7,2]",2026-01-29,"Local pack, Sitelinks, Image, Ads bottom, People also ask, Related searches",transactional,Organic
best local movers near me,14,14,110,46,6.50,https://www.firstratemovers.com/,0,0,0.00,0.97,0,"[100,65,42,19,11,7,19,19,34,42,53,53]",2026-03-09,"Knowledge panel, Video, Related searches, Discussions and forums, AI overview",transactional,Organic
best place to get moving supplies,35,35,320,32,0.00,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,0.33,263000000,"[36,36,29,36,36,36,36,36,36,36,36,29]",2026-02-28,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
moving company in ottawa,58,58,480,50,6.95,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.86,16500000,"[20,62,1,1,1,10,1,13,20,100,81,6]",2026-01-26,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
piano movers newmarket ontario,70,70,70,5,3.26,https://www.firstratemovers.com/ottawa-piano-movers/,0,0,0.00,0.11,227000,"[7,7,42,42,42,7,7,7,7,100,34,26]",2026-01-26,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
movers and moving services,19,19,390,68,6.74,https://www.firstratemovers.com/,0,0,0.00,0.33,40700000,"[81,100,5,8,8,24,6,6,62,4,1,3]",2026-01-18,"Local pack, People also ask, Related searches",commercial,Organic
furniture donation pick up ottawa,19,19,70,23,1.44,https://www.firstratemovers.com/furniture-donation-disposal/,0,0,0.00,0.76,1060000,"[11,23,41,17,29,41,41,52,41,52,41,52]",2026-01-31,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Organic
full service moving companies,13,13,170,41,6.65,https://www.firstratemovers.com/,0,0,0.00,0.15,391000000,"[17,28,17,35,28,35,100,35,28,53,66,66]",2026-03-05,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
ottawa moving logistics,64,64,210,35,3.16,https://www.firstratemovers.com/,0,0,0.00,0.22,0,"[35,29,35,35,35,35,43,43,54,54,35,35]",2026-03-08,"Knowledge panel, Sitelinks, Video, Image, Related searches, Discussions and forums",navigational,Organic
average moving company cost,9,9,90,14,2.10,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.71,534000000,"[63,100,81,81,81,81,100,81,81,81,45,45]",2026-02-04,"Sitelinks, Video, People also ask, Related searches",informational,Organic
compare moving companies,25,25,320,28,5.00,https://www.firstratemovers.com/compare-us/,0,0,0.00,0.84,511000000,"[20,24,20,24,24,24,24,24,24,45,30,24]",2026-02-17,"Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
orleans movers,7,7,170,21,4.55,https://www.firstratemovers.com/orleans-movers/,0,0,0.00,0.75,4310000,"[6,12,12,12,19,15,15,36,36,44,29,36]",2026-02-22,"Knowledge panel, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
orleans movers,30,30,170,21,4.55,https://www.firstratemovers.com/,0,0,0.00,0.75,4310000,"[6,12,12,12,19,15,15,36,36,44,29,36]",2026-02-22,"Knowledge panel, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
orleans movers,85,85,170,21,4.55,https://www.firstratemovers.com/local-moving-in-ottawa/,0,0,0.00,0.75,4310000,"[6,12,12,12,19,15,15,36,36,44,29,36]",2026-02-22,"Knowledge panel, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
companies that move,39,39,110,49,6.16,https://www.firstratemovers.com/,0,0,0.00,0.14,1910000000,"[6,6,6,34,6,6,6,65,21,81,100,81]",2026-01-18,"People also ask, Related searches, AI overview",commercial,Organic
companies that move,41,41,110,49,6.16,https://www.firstratemovers.com/,0,0,0.00,0.14,1910000000,"[6,6,6,34,6,6,6,65,21,81,100,81]",2026-01-18,"People also ask, Related searches, AI overview",commercial,Organic
ottawa storage containers,33,33,50,28,5.98,https://www.firstratemovers.com/our-storage/,0,0,0.00,1,1540000,"[22,22,22,22,22,100,22,100,77,100,100,100]",2026-02-16,"Local pack, Sitelinks, Popular products, Related searches",commercial,Organic
used furniture ottawa canada,50,50,390,25,0.37,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,0,0,0.00,0.59,6000000,"[66,81,54,81,66,44,44,44,81,100,54,54]",2026-02-02,"Local pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
where can i get packing boxes for moving,77,77,50,,0.90,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,0.96,30100000,"[18,18,18,18,100,18,100,100,100,18,18,18]",2026-01-18,"Local pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,Organic
movers packers,27,27,70,22,8.13,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.92,12300000,"[19,23,23,52,33,33,33,42,33,23,23,19]",2026-01-22,"Local pack, Video, Image, Ads bottom, People also ask, Related searches, AI overview",commercial,Organic
appliance move,52,52,110,14,2.39,https://www.firstratemovers.com/preparing-appliances/,0,0,0.00,0.98,122000000,"[23,29,17,23,29,52,100,100,100,82,100,82]",2026-01-26,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
one go movers,2,2,70,23,3.89,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.72,123000000,"[0,1,1,1,1,0,1,1,2,0,1,0]",2026-02-20,"Video, Image, People also ask, Related searches",informational,People also ask
moving cost calculator ontario,18,18,70,12,2.00,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.83,15500000,"[23,23,41,41,41,29,82,52,52,52,41,29]",2026-03-08,"Video, Related searches, AI overview",informational,Organic
full service movers,18,18,320,62,6.65,https://www.firstratemovers.com/,0,0,0.00,0.15,138000000,"[10,10,10,10,10,16,100,20,24,20,24,24]",2026-01-13,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
2 men and a truck cambridge,1,1,170,30,1.97,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.21,5630000,"[10,14,43,54,43,43,35,29,43,22,18,29]",2026-02-11,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
furniture pick up,69,69,210,26,3.00,https://www.firstratemovers.com/furniture-donation-disposal/,0,0,0.00,0.89,508000000,"[53,65,43,28,43,53,65,100,100,81,65,65]",2026-01-26,"Local pack, Video, Ads bottom, People also ask, Related searches, See results about",commercial,Organic
